iter	RMSE
0	20635.80938
1	18803.69938
2	17151.18291
3	15674.15193
4	14359.84554
5	13188.92688
6	12152.46443
7	11232.53723
8	10425.54605
9	9709.484791
10	9077.399079
11	8521.772172
12	8036.538435
13	7611.782862
14	7245.401088
15	6934.968581
16	6664.608855
17	6432.392002
18	6236.006658
19	6069.919176
20	5918.254863
21	5786.4084
22	5669.551869
23	5575.919913
24	5497.369986
25	5433.578122
26	5372.635462
27	5322.905738
28	5281.724478
29	5229.957587
30	5191.666137
31	5156.839046
32	5126.893234
33	5101.827904
34	5082.392864
35	5059.952044
36	5037.346903
37	5019.184012
38	5002.277571
39	4990.003951
40	4969.183839
41	4953.917685
42	4945.989741
43	4934.886325
44	4919.199553
45	4913.234342
46	4908.07227
47	4900.656972
48	4878.01262
49	4863.023999
50	4856.194187
51	4838.007966
52	4828.790573
53	4820.510288
54	4812.844663
55	4808.800666
56	4802.736226
57	4795.579308
58	4789.379716
59	4780.672689
60	4773.649903
61	4770.614394
62	4764.487007
63	4758.751942
64	4753.386849
65	4747.172259
66	4743.152872
67	4734.914404
68	4727.590719
69	4718.100904
70	4708.188667
71	4703.80697
72	4700.19275
73	4696.940384
74	4689.826621
75	4678.527581
76	4671.696225
77	4663.795124
78	4655.335519
79	4650.266509
80	4646.611924
81	4643.723796
82	4642.066717
83	4631.684379
84	4624.751008
85	4617.477388
86	4611.715589
87	4607.786942
88	4602.53718
89	4599.928827
90	4595.228162
91	4589.407412
92	4585.418784
93	4578.388356
94	4575.403749
95	4572.349894
96	4567.496797
97	4565.514421
98	4564.102365
99	4556.684311
100	4555.015725
101	4552.771087
102	4546.117447
103	4542.174974
104	4532.111574
105	4527.580153
106	4521.291054
107	4518.267388
108	4513.492426
109	4510.054667
110	4507.790679
111	4505.520652
112	4502.10175
113	4496.289228
114	4495.233962
115	4491.606317
116	4487.651816
117	4482.26995
118	4479.988228
119	4476.442814
120	4474.00935
121	4466.609534
122	4460.783271
123	4459.397426
124	4454.760598
125	4448.746842
126	4443.798568
127	4438.728877
128	4437.100556
129	4433.291272
130	4431.802435
131	4430.189186
132	4427.553864
133	4425.522131
134	4423.52562
135	4421.62344
136	4420.315461
137	4419.431704
138	4418.522995
139	4415.021372
140	4413.863528
141	4412.47722
142	4408.935589
143	4407.437846
144	4403.70967
145	4403.009847
146	4401.008163
147	4400.293625
148	4398.480242
149	4393.329161
150	4391.957974
151	4390.978398
152	4387.025753
153	4384.660676
154	4383.799482
155	4380.135524
156	4379.057404
157	4375.20158
158	4373.667445
159	4370.177006
160	4364.037581
161	4360.486492
162	4358.901774
163	4357.262426
164	4355.492042
165	4354.211916
166	4353.390913
167	4351.780452
168	4348.356348
169	4344.947035
170	4344.129128
171	4342.817472
172	4342.090468
173	4338.069044
174	4337.024948
175	4335.670762
176	4335.046373
177	4334.257206
178	4332.61986
179	4331.16987
180	4330.35565
181	4328.112315
182	4325.704205
183	4322.91801
184	4320.93013
185	4320.196757
186	4319.112428
187	4317.144428
188	4316.493594
189	4314.482349
190	4311.781777
191	4309.703351
192	4308.044156
193	4305.662252
194	4304.84308
195	4303.130615
196	4302.476325
197	4300.316967
198	4298.524799
199	4297.741588
200	4297.253519
201	4296.492948
202	4291.91533
203	4290.996144
204	4290.327683
205	4289.007378
206	4286.983963
207	4286.060042
208	4284.445058
209	4283.5177
210	4282.829121
211	4281.839621
212	4279.216861
213	4276.344475
214	4275.886005
215	4274.553677
216	4271.963712
217	4270.464112
218	4269.807191
219	4266.982505
220	4265.929116
221	4265.059777
222	4263.600384
223	4262.769714
224	4261.937773
225	4260.342744
226	4259.76755
227	4259.108651
228	4258.723095
229	4258.170464
230	4257.796128
231	4256.724747
232	4256.195947
233	4255.107906
234	4251.975563
235	4249.838537
236	4247.525538
237	4247.220448
238	4246.320154
239	4245.224622
240	4244.810511
241	4244.234148
242	4242.786907
243	4241.400549
244	4239.967756
