iter	Passed	Remaining
0	65	65065
1	72	35984
2	78	26003
3	84	21040
4	90	18092
5	97	16168
6	103	14701
7	109	13622
8	115	12764
9	122	12105
10	128	11529
11	134	11059
12	140	10678
13	146	10345
14	153	10056
15	159	9802
16	165	9570
17	172	9397
18	178	9216
19	184	9042
20	190	8891
21	196	8754
22	203	8654
23	211	8601
24	218	8510
25	225	8429
26	231	8344
27	237	8249
28	244	8174
29	251	8137
30	258	8069
31	264	8001
32	271	7946
33	278	7900
34	284	7833
35	290	7792
36	297	7731
37	303	7687
38	310	7652
39	316	7604
40	323	7577
41	330	7544
42	337	7505
43	343	7470
44	350	7434
45	356	7397
46	362	7356
47	369	7331
48	376	7298
49	382	7265
50	388	7227
51	394	7195
52	401	7169
53	407	7139
54	413	7111
55	420	7081
56	426	7060
57	433	7032
58	439	7005
59	445	6981
60	451	6956
61	458	6929
62	464	6907
63	470	6881
64	476	6856
65	482	6835
66	489	6814
67	495	6794
68	502	6773
69	508	6759
70	515	6748
71	522	6736
72	530	6732
73	536	6718
74	544	6714
75	553	6728
76	562	6738
77	570	6742
78	578	6742
79	586	6740
80	594	6750
81	602	6748
82	610	6745
83	619	6759
84	627	6751
85	634	6746
86	642	6737
87	649	6734
88	658	6739
89	665	6731
90	674	6734
91	681	6730
92	689	6720
93	696	6711
94	703	6698
95	710	6690
96	717	6682
97	724	6666
98	731	6659
99	739	6652
100	746	6648
101	754	6641
102	762	6636
103	769	6629
104	776	6620
105	784	6614
106	791	6609
107	799	6601
108	806	6596
109	814	6592
110	822	6585
111	829	6577
112	836	6563
113	843	6555
114	850	6546
115	857	6536
116	864	6524
117	871	6511
118	877	6494
119	882	6475
120	889	6459
121	895	6445
122	901	6429
123	907	6410
124	913	6393
125	919	6378
126	925	6361
127	931	6344
128	937	6331
129	943	6316
130	949	6301
131	955	6284
132	961	6269
133	967	6255
134	973	6238
135	979	6222
136	985	6208
137	991	6193
138	997	6178
139	1003	6165
140	1009	6149
141	1015	6136
142	1021	6124
143	1028	6112
144	1034	6101
145	1040	6088
146	1047	6077
147	1053	6062
148	1059	6050
149	1065	6040
150	1073	6034
151	1081	6031
152	1088	6023
153	1095	6015
154	1101	6005
155	1108	5998
156	1116	5992
157	1124	5990
158	1131	5985
159	1138	5977
160	1145	5969
161	1152	5964
162	1160	5960
163	1167	5951
164	1173	5939
165	1179	5927
166	1185	5915
167	1191	5902
168	1198	5894
169	1204	5882
170	1210	5870
171	1217	5859
172	1223	5847
173	1229	5835
174	1235	5825
175	1241	5812
176	1247	5801
177	1253	5788
178	1259	5776
179	1265	5764
180	1271	5751
181	1277	5740
182	1283	5729
183	1289	5716
184	1295	5706
185	1301	5695
186	1307	5684
187	1313	5673
188	1319	5663
189	1325	5652
190	1332	5642
191	1337	5629
192	1343	5619
193	1350	5610
194	1356	5600
195	1363	5591
196	1370	5585
197	1376	5576
198	1383	5567
199	1390	5561
200	1396	5553
201	1404	5547
202	1411	5543
203	1418	5534
204	1426	5531
205	1434	5527
206	1441	5522
207	1451	5526
208	1461	5529
209	1468	5526
210	1476	5522
211	1483	5515
212	1491	5510
213	1498	5505
214	1505	5498
215	1513	5494
216	1521	5491
217	1529	5485
218	1536	5480
219	1544	5477
220	1552	5472
221	1559	5466
222	1567	5462
223	1575	5456
224	1583	5452
225	1590	5446
226	1597	5440
227	1606	5438
228	1612	5429
229	1618	5419
230	1624	5409
231	1631	5400
232	1637	5390
233	1643	5379
234	1649	5369
235	1656	5361
236	1662	5352
237	1668	5342
238	1675	5335
239	1681	5325
240	1688	5317
241	1694	5307
242	1700	5297
243	1706	5287
244	1712	5277
245	1718	5267
246	1724	5257
247	1730	5248
248	1737	5239
249	1742	5228
250	1748	5218
251	1755	5209
252	1761	5199
253	1767	5190
254	1773	5182
255	1779	5172
256	1786	5163
257	1792	5154
258	1798	5146
259	1805	5137
260	1811	5129
261	1818	5121
262	1824	5112
263	1830	5103
264	1836	5094
265	1843	5086
266	1849	5078
267	1856	5070
268	1862	5061
269	1869	5054
270	1875	5046
271	1882	5038
272	1888	5030
273	1895	5022
274	1901	5013
275	1908	5005
276	1914	4997
277	1921	4989
278	1927	4980
279	1934	4973
280	1940	4965
281	1947	4958
282	1953	4949
283	1959	4941
284	1966	4932
285	1972	4925
286	1978	4916
287	1985	4907
288	1991	4899
289	1998	4891
290	2004	4883
291	2010	4875
292	2016	4866
293	2022	4857
294	2028	4848
295	2035	4840
296	2041	4832
297	2047	4824
298	2054	4816
299	2061	4809
300	2067	4801
301	2074	4794
302	2080	4786
303	2087	4780
304	2094	4773
305	2100	4764
306	2107	4757
307	2113	4748
308	2120	4741
309	2126	4733
310	2132	4724
311	2138	4715
312	2145	4708
313	2152	4702
314	2158	4694
315	2164	4686
316	2171	4679
317	2178	4673
318	2187	4669
319	2195	4664
320	2203	4660
321	2211	4655
322	2219	4651
323	2226	4646
324	2234	4640
325	2242	4636
326	2250	4631
327	2256	4624
328	2264	4617
329	2272	4613
330	2279	4607
331	2287	4603
332	2295	4598
333	2303	4593
334	2311	4588
335	2317	4579
336	2324	4572
337	2331	4565
338	2339	4561
339	2345	4553
340	2352	4545
341	2358	4537
342	2364	4529
343	2371	4521
344	2377	4513
345	2384	4506
346	2391	4499
347	2397	4492
348	2403	4483
349	2410	4476
350	2416	4468
351	2423	4460
352	2429	4452
353	2435	4444
354	2441	4436
355	2447	4428
356	2454	4419
357	2460	4411
358	2466	4404
359	2472	4395
360	2478	4387
361	2484	4379
362	2491	4371
363	2496	4362
364	2503	4354
365	2509	4346
366	2514	4337
367	2521	4330
368	2527	4322
369	2533	4314
370	2540	4307
371	2546	4299
372	2553	4292
373	2559	4284
374	2565	4275
375	2571	4268
376	2578	4260
377	2584	4253
378	2590	4245
379	2597	4237
380	2603	4230
381	2609	4222
382	2616	4214
383	2622	4206
384	2628	4198
385	2634	4191
386	2640	4182
387	2647	4175
388	2653	4168
389	2660	4160
390	2666	4153
391	2673	4146
392	2679	4138
393	2685	4130
394	2691	4122
395	2697	4114
396	2704	4107
397	2710	4099
398	2716	4092
399	2723	4085
400	2729	4077
401	2735	4069
402	2742	4062
403	2748	4054
404	2755	4047
405	2761	4039
406	2767	4031
407	2773	4024
408	2780	4017
409	2786	4009
410	2792	4002
411	2799	3994
412	2805	3986
413	2811	3979
414	2817	3971
415	2823	3963
416	2829	3955
417	2835	3948
418	2841	3940
419	2848	3933
420	2854	3925
421	2860	3917
422	2866	3910
423	2874	3904
424	2880	3897
425	2886	3889
426	2892	3882
427	2899	3875
428	2906	3868
429	2912	3860
430	2918	3853
431	2924	3845
432	2931	3838
433	2938	3831
434	2944	3823
435	2950	3816
436	2956	3808
437	2962	3800
438	2968	3793
439	2974	3785
440	2980	3777
441	2986	3769
442	2992	3762
443	2998	3754
444	3003	3746
445	3010	3739
446	3016	3732
447	3023	3725
448	3030	3718
449	3036	3710
450	3042	3703
451	3048	3696
452	3055	3689
453	3061	3682
454	3067	3674
455	3074	3667
456	3080	3660
457	3086	3652
458	3093	3646
459	3099	3638
460	3105	3630
461	3111	3623
462	3118	3616
463	3124	3609
464	3130	3602
465	3136	3594
466	3142	3587
467	3149	3580
468	3155	3572
469	3161	3565
470	3168	3558
471	3174	3551
472	3181	3544
473	3187	3537
474	3193	3530
475	3200	3522
476	3206	3515
477	3212	3508
478	3219	3502
479	3226	3494
480	3232	3487
481	3238	3480
482	3244	3473
483	3251	3466
484	3257	3458
485	3263	3451
486	3269	3444
487	3276	3437
488	3282	3430
489	3289	3423
490	3295	3416
491	3301	3409
492	3308	3401
493	3314	3394
494	3320	3387
495	3326	3380
496	3332	3373
497	3339	3366
498	3346	3359
499	3352	3352
500	3359	3345
501	3364	3338
502	3371	3331
503	3377	3323
504	3383	3316
505	3389	3308
506	3395	3301
507	3401	3294
508	3408	3287
509	3414	3280
510	3420	3273
511	3426	3265
512	3433	3259
513	3440	3252
514	3447	3246
515	3453	3238
516	3459	3231
517	3465	3225
518	3473	3218
519	3479	3211
520	3485	3204
521	3492	3197
522	3498	3190
523	3505	3183
524	3511	3176
525	3517	3170
526	3524	3163
527	3530	3155
528	3537	3149
529	3543	3142
530	3551	3136
531	3557	3129
532	3563	3122
533	3570	3115
534	3576	3108
535	3582	3101
536	3589	3094
537	3595	3087
538	3602	3081
539	3608	3074
540	3614	3067
541	3621	3059
542	3627	3053
543	3633	3046
544	3640	3039
545	3646	3032
546	3653	3025
547	3660	3018
548	3666	3011
549	3672	3004
550	3678	2997
551	3684	2990
552	3691	2983
553	3697	2976
554	3703	2969
555	3710	2962
556	3716	2955
557	3722	2948
558	3729	2941
559	3735	2935
560	3741	2928
561	3747	2920
562	3754	2914
563	3761	2907
564	3767	2900
565	3774	2894
566	3780	2887
567	3786	2880
568	3792	2873
569	3799	2865
570	3805	2859
571	3811	2852
572	3818	2845
573	3824	2838
574	3830	2831
575	3837	2824
576	3843	2817
577	3849	2810
578	3856	2803
579	3862	2796
580	3869	2790
581	3875	2783
582	3882	2776
583	3888	2769
584	3895	2763
585	3901	2756
586	3908	2749
587	3914	2743
588	3921	2736
589	3928	2729
590	3934	2723
591	3940	2716
592	3947	2709
593	3953	2701
594	3959	2694
595	3965	2687
596	3971	2681
597	3977	2674
598	3984	2667
599	3990	2660
600	3996	2653
601	4003	2646
602	4009	2639
603	4015	2632
604	4021	2625
605	4027	2618
606	4034	2612
607	4040	2604
608	4046	2597
609	4052	2591
610	4059	2584
611	4065	2577
612	4071	2570
613	4078	2563
614	4084	2557
615	4090	2550
616	4096	2543
617	4103	2536
618	4109	2529
619	4114	2522
620	4121	2515
621	4127	2508
622	4134	2501
