iter	Passed	Remaining
0	12	12286
1	27	13765
2	34	11358
3	40	9978
4	46	9172
5	52	8664
6	58	8239
7	64	8017
8	70	7805
9	76	7613
10	82	7452
11	88	7310
12	95	7223
13	101	7167
14	108	7103
15	114	7037
16	120	6977
17	126	6913
18	132	6849
19	138	6771
20	143	6712
21	150	6684
22	156	6642
23	163	6635
24	170	6657
25	200	7501
26	209	7564
27	218	7589
28	225	7556
29	232	7508
30	238	7451
31	244	7388
32	250	7343
33	256	7299
34	263	7254
35	270	7234
36	276	7187
37	282	7149
38	288	7120
39	295	7081
40	302	7066
41	308	7038
42	314	7003
43	321	6976
44	328	6963
45	333	6926
46	340	6909
47	347	6885
48	353	6859
49	359	6831
50	365	6807
51	372	6785
52	378	6759
53	384	6732
54	390	6708
55	396	6679
56	402	6662
57	409	6644
58	416	6637
59	423	6636
60	430	6626
61	436	6607
62	442	6586
63	448	6564
64	454	6542
65	460	6521
66	467	6504
67	473	6483
68	478	6462
69	485	6448
70	491	6433
71	497	6413
72	503	6394
73	509	6375
74	516	6370
75	523	6358
76	529	6343
77	535	6326
78	541	6309
79	547	6296
80	553	6281
81	559	6268
82	566	6254
83	572	6241
84	578	6229
85	584	6213
86	590	6201
87	596	6186
88	603	6176
89	609	6162
90	616	6158
91	623	6154
92	629	6140
93	635	6127
94	641	6111
95	647	6097
96	653	6086
97	659	6072
98	665	6058
99	671	6045
100	677	6032
101	683	6017
102	689	6007
103	695	5995
104	702	5983
105	708	5972
106	715	5974
107	722	5969
108	729	5960
109	735	5951
110	742	5945
111	748	5937
112	755	5930
113	762	5923
114	768	5912
115	775	5906
116	781	5899
117	788	5893
118	794	5885
119	801	5874
120	807	5866
121	814	5860
122	822	5865
123	829	5858
124	836	5855
125	842	5847
126	849	5837
127	855	5827
128	861	5818
129	868	5811
130	874	5802
131	880	5792
132	886	5782
133	893	5776
134	900	5768
135	906	5759
136	912	5751
137	919	5740
138	925	5731
139	932	5725
140	938	5717
141	944	5709
142	951	5703
143	958	5695
144	964	5687
145	972	5685
146	979	5682
147	986	5677
148	993	5675
149	1001	5676
150	1008	5672
151	1017	5675
152	1027	5686
153	1034	5684
154	1042	5684
155	1050	5683
156	1056	5674
157	1063	5667
158	1069	5659
159	1076	5651
160	1083	5644
161	1091	5644
162	1098	5642
163	1106	5641
164	1114	5640
165	1122	5637
166	1129	5631
167	1137	5632
168	1144	5628
169	1152	5625
170	1160	5625
171	1167	5619
172	1174	5614
173	1181	5610
174	1188	5603
175	1194	5594
176	1201	5588
177	1208	5581
178	1215	5576
179	1223	5574
180	1230	5567
181	1237	5562
182	1244	5555
183	1250	5546
184	1257	5538
185	1263	5527
186	1269	5519
187	1276	5512
188	1282	5504
189	1289	5496
190	1296	5489
191	1302	5480
192	1309	5476
193	1316	5469
194	1322	5460
195	1329	5451
196	1335	5445
197	1342	5437
198	1348	5428
199	1355	5420
200	1362	5414
201	1368	5405
202	1375	5398
203	1381	5390
204	1388	5383
205	1394	5375
206	1401	5367
207	1408	5361
208	1415	5356
209	1422	5350
210	1429	5344
211	1435	5336
212	1441	5327
213	1448	5321
214	1455	5314
215	1463	5310
216	1470	5304
217	1476	5296
218	1482	5288
219	1489	5280
220	1495	5272
221	1502	5264
222	1508	5256
223	1515	5250
224	1522	5242
225	1528	5234
226	1534	5225
227	1540	5216
228	1546	5207
229	1553	5200
230	1559	5191
231	1565	5183
232	1571	5173
233	1577	5165
234	1583	5156
235	1589	5146
236	1595	5138
237	1601	5128
238	1608	5121
239	1615	5114
240	1622	5109
241	1628	5102
242	1635	5093
243	1641	5084
244	1647	5075
245	1652	5066
246	1659	5057
247	1665	5048
248	1671	5040
249	1677	5031
250	1683	5022
251	1689	5015
252	1695	5006
253	1702	4999
254	1709	4994
255	1715	4985
256	1722	4979
257	1728	4971
258	1735	4964
259	1741	4957
260	1747	4948
261	1753	4939
262	1759	4930
263	1765	4923
264	1772	4914
265	1778	4906
266	1784	4898
267	1790	4889
268	1796	4880
269	1802	4874
270	1808	4866
271	1815	4859
272	1824	4858
273	1831	4851
274	1837	4844
275	1844	4839
276	1851	4831
277	1857	4824
278	1864	4818
279	1871	4811
280	1878	4805
281	1885	4801
282	1893	4796
283	1900	4792
284	1907	4786
285	1914	4780
286	1921	4773
287	1928	4767
288	1935	4761
289	1942	4755
290	1948	4748
291	1955	4740
292	1961	4732
293	1967	4724
294	1973	4715
295	1979	4707
296	1985	4699
297	1991	4692
298	1998	4684
299	2004	4677
300	2011	4670
301	2018	4664
302	2025	4658
303	2032	4653
304	2039	4647
305	2046	4640
306	2052	4633
307	2058	4625
308	2065	4618
309	2071	4610
310	2077	4602
311	2083	4594
312	2090	4587
313	2096	4581
314	2103	4573
315	2109	4566
316	2116	4559
317	2122	4551
318	2128	4543
319	2134	4536
320	2141	4529
321	2147	4522
322	2154	4515
323	2160	4507
324	2167	4500
325	2173	4494
326	2180	4486
327	2186	4479
328	2192	4472
329	2198	4464
330	2205	4456
331	2212	4450
332	2218	4443
333	2225	4437
334	2232	4431
335	2238	4424
336	2245	4417
337	2251	4409
338	2257	4401
339	2263	4393
340	2269	4385
341	2274	4376
342	2280	4368
343	2286	4361
344	2293	4353
345	2299	4347
346	2306	4339
347	2312	4333
348	2319	4326
349	2325	4319
350	2331	4311
351	2337	4303
352	2343	4295
353	2350	4288
354	2356	4281
355	2362	4273
356	2368	4265
357	2374	4258
358	2381	4251
359	2387	4243
360	2393	4236
361	2399	4229
362	2405	4221
363	2411	4213
364	2418	4207
365	2425	4200
366	2431	4193
367	2437	4186
368	2443	4178
369	2449	4171
370	2456	4164
371	2462	4156
372	2468	4149
373	2474	4141
374	2480	4134
375	2487	4127
376	2493	4121
377	2499	4113
378	2506	4106
379	2512	4099
380	2519	4092
381	2525	4085
382	2531	4078
383	2537	4070
384	2543	4063
385	2549	4055
386	2555	4047
387	2561	4040
388	2567	4033
389	2574	4026
390	2580	4018
391	2586	4011
392	2592	4004
393	2599	3997
394	2606	3992
395	2614	3987
396	2622	3983
397	2632	3981
398	2642	3979
399	2649	3974
400	2656	3968
401	2664	3963
402	2672	3958
403	2679	3952
404	2686	3947
405	2693	3940
406	2700	3934
407	2708	3930
408	2716	3925
409	2724	3920
410	2732	3915
411	2740	3910
412	2750	3909
413	2758	3905
414	2765	3899
415	2773	3894
416	2780	3888
417	2788	3882
418	2796	3877
419	2804	3872
420	2812	3868
421	2820	3863
422	2829	3859
423	2836	3853
424	2845	3850
425	2852	3844
426	2860	3839
427	2868	3833
428	2875	3827
429	2882	3820
430	2889	3815
431	2897	3810
432	2905	3804
433	2913	3799
434	2920	3792
435	2927	3786
436	2934	3780
437	2941	3774
438	2949	3768
439	2956	3762
440	2963	3756
441	2970	3750
442	2977	3744
443	2984	3737
444	2991	3731
445	2999	3725
446	3007	3720
447	3014	3714
448	3022	3709
449	3029	3702
450	3038	3698
451	3045	3692
452	3053	3686
453	3060	3680
454	3067	3674
455	3074	3667
456	3081	3661
457	3089	3655
458	3096	3649
